building_name,timestamp,month,kwh
B_block,2024-01-01 00:00:00,1,24.3
B_block,2024-01-01 08:00:00,1,19.5
B_block,2024-01-01 16:00:00,1,28.1
B_block,2024-01-02 00:00:00,1,23.9
B_block,2024-01-02 08:00:00,1,20.7
B_block,2024-01-02 16:00:00,1,27.6
B_block,2024-01-03 00:00:00,1,22.8
B_block,2024-01-03 08:00:00,1,18.9
B_block,2024-01-03 16:00:00,1,26.4
B_block,2024-01-04 00:00:00,1,25.1
B_block,2024-01-04 08:00:00,1,20.2
B_block,2024-01-04 16:00:00,1,29.3
B_block,2024-01-05 00:00:00,1,23.7
B_block,2024-01-05 08:00:00,1,19.1
B_block,2024-01-05 16:00:00,1,28.9
B_block,2024-01-06 00:00:00,1,24.8
B_block,2024-01-06 08:00:00,1,20.3
B_block,2024-01-06 16:00:00,1,27.1
B_block,2024-01-07 00:00:00,1,25.6
B_block,2024-01-07 08:00:00,1,21.5
B_block,2024-01-07 16:00:00,1,30.2
B_block,2024-01-08 00:00:00,1,23.4
B_block,2024-01-08 08:00:00,1,18.8
B_block,2024-01-08 16:00:00,1,27.9
B_block,2024-01-09 00:00:00,1,24.7
B_block,2024-01-09 08:00:00,1,20.0
B_block,2024-01-09 16:00:00,1,28.3
B_block,2024-01-10 00:00:00,1,25.3
B_block,2024-01-10 08:00:00,1,21.2
B_block,2024-01-10 16:00:00,1,29.7
