building_name,timestamp,month,kwh
A_block,2024-01-01 00:00:00,1,32.4
D_block,2024-01-01 00:00:00,1,29.1
C_block,2024-01-01 00:00:00,1,42.3
B_block,2024-01-01 00:00:00,1,24.3
D_block,2024-01-01 08:00:00,1,25.3
C_block,2024-01-01 08:00:00,1,37.6
B_block,2024-01-01 08:00:00,1,19.5
A_block,2024-01-01 08:00:00,1,29.1
C_block,2024-01-01 16:00:00,1,50.1
B_block,2024-01-01 16:00:00,1,28.1
D_block,2024-01-01 16:00:00,1,36.7
A_block,2024-01-01 16:00:00,1,41.8
C_block,2024-01-02 00:00:00,1,41.2
A_block,2024-01-02 00:00:00,1,33.7
D_block,2024-01-02 00:00:00,1,27.9
B_block,2024-01-02 00:00:00,1,23.9
B_block,2024-01-02 08:00:00,1,20.7
C_block,2024-01-02 08:00:00,1,36.8
D_block,2024-01-02 08:00:00,1,23.8
A_block,2024-01-02 08:00:00,1,30.5
D_block,2024-01-02 16:00:00,1,35.1
C_block,2024-01-02 16:00:00,1,52.0
B_block,2024-01-02 16:00:00,1,27.6
A_block,2024-01-02 16:00:00,1,44.2
D_block,2024-01-03 00:00:00,1,28.6
B_block,2024-01-03 00:00:00,1,22.8
C_block,2024-01-03 00:00:00,1,40.4
A_block,2024-01-03 00:00:00,1,31.6
B_block,2024-01-03 08:00:00,1,18.9
C_block,2024-01-03 08:00:00,1,35.9
D_block,2024-01-03 08:00:00,1,24.1
A_block,2024-01-03 08:00:00,1,28.7
B_block,2024-01-03 16:00:00,1,26.4
D_block,2024-01-03 16:00:00,1,37.4
A_block,2024-01-03 16:00:00,1,42.9
C_block,2024-01-03 16:00:00,1,49.5
C_block,2024-01-04 00:00:00,1,43.1
B_block,2024-01-04 00:00:00,1,25.1
D_block,2024-01-04 00:00:00,1,30.2
A_block,2024-01-04 00:00:00,1,35.2
B_block,2024-01-04 08:00:00,1,20.2
D_block,2024-01-04 08:00:00,1,25.7
C_block,2024-01-04 08:00:00,1,38.3
A_block,2024-01-04 08:00:00,1,29.8
A_block,2024-01-04 16:00:00,1,43.6
B_block,2024-01-04 16:00:00,1,29.3
C_block,2024-01-04 16:00:00,1,51.8
D_block,2024-01-04 16:00:00,1,38.3
A_block,2024-01-05 00:00:00,1,34.1
D_block,2024-01-05 00:00:00,1,29.5
B_block,2024-01-05 00:00:00,1,23.7
C_block,2024-01-05 00:00:00,1,42.7
C_block,2024-01-05 08:00:00,1,37.1
A_block,2024-01-05 08:00:00,1,28.9
B_block,2024-01-05 08:00:00,1,19.1
D_block,2024-01-05 08:00:00,1,24.9
C_block,2024-01-05 16:00:00,1,53.4
A_block,2024-01-05 16:00:00,1,45.1
B_block,2024-01-05 16:00:00,1,28.9
D_block,2024-01-05 16:00:00,1,37.8
B_block,2024-01-06 00:00:00,1,24.8
C_block,2024-01-06 00:00:00,1,41.9
D_block,2024-01-06 00:00:00,1,30.4
A_block,2024-01-06 00:00:00,1,33.4
C_block,2024-01-06 08:00:00,1,36.4
D_block,2024-01-06 08:00:00,1,26.2
B_block,2024-01-06 08:00:00,1,20.3
A_block,2024-01-06 08:00:00,1,27.6
C_block,2024-01-06 16:00:00,1,50.7
D_block,2024-01-06 16:00:00,1,39.0
B_block,2024-01-06 16:00:00,1,27.1
A_block,2024-01-06 16:00:00,1,46.3
C_block,2024-01-07 00:00:00,1,43.4
A_block,2024-01-07 00:00:00,1,34.9
D_block,2024-01-07 00:00:00,1,28.8
B_block,2024-01-07 00:00:00,1,25.6
C_block,2024-01-07 08:00:00,1,38.1
B_block,2024-01-07 08:00:00,1,21.5
A_block,2024-01-07 08:00:00,1,29.3
D_block,2024-01-07 08:00:00,1,23.9
B_block,2024-01-07 16:00:00,1,30.2
D_block,2024-01-07 16:00:00,1,36.2
A_block,2024-01-07 16:00:00,1,44.7
C_block,2024-01-07 16:00:00,1,52.9
D_block,2024-01-08 00:00:00,1,29.9
A_block,2024-01-08 00:00:00,1,32.5
B_block,2024-01-08 00:00:00,1,23.4
C_block,2024-01-08 00:00:00,1,42.5
C_block,2024-01-08 08:00:00,1,37.0
B_block,2024-01-08 08:00:00,1,18.8
D_block,2024-01-08 08:00:00,1,25.5
A_block,2024-01-08 08:00:00,1,27.8
B_block,2024-01-08 16:00:00,1,27.9
A_block,2024-01-08 16:00:00,1,47.4
C_block,2024-01-08 16:00:00,1,51.3
D_block,2024-01-08 16:00:00,1,38.7
D_block,2024-01-09 00:00:00,1,28.3
B_block,2024-01-09 00:00:00,1,24.7
C_block,2024-01-09 00:00:00,1,44.2
A_block,2024-01-09 00:00:00,1,33.8
D_block,2024-01-09 08:00:00,1,24.4
C_block,2024-01-09 08:00:00,1,38.7
B_block,2024-01-09 08:00:00,1,20.0
A_block,2024-01-09 08:00:00,1,28.4
C_block,2024-01-09 16:00:00,1,53.6
B_block,2024-01-09 16:00:00,1,28.3
A_block,2024-01-09 16:00:00,1,46.2
D_block,2024-01-09 16:00:00,1,37.1
C_block,2024-01-10 00:00:00,1,43.9
D_block,2024-01-10 00:00:00,1,30.6
A_block,2024-01-10 00:00:00,1,34.6
B_block,2024-01-10 00:00:00,1,25.3
C_block,2024-01-10 08:00:00,1,39.1
D_block,2024-01-10 08:00:00,1,26.1
B_block,2024-01-10 08:00:00,1,21.2
A_block,2024-01-10 08:00:00,1,30.1
B_block,2024-01-10 16:00:00,1,29.7
A_block,2024-01-10 16:00:00,1,45.9
C_block,2024-01-10 16:00:00,1,52.4
D_block,2024-01-10 16:00:00,1,39.4
